ಎಲಿಜಬೆತ್	Elizabeth
ಮಾತ್ರ.	maatra.
</s>	</s>
ಈ	Ee
ಉದ್ದೇಶಕ್ಕಾಗಿ,	uddeshakkaagi,
ಬಳಸುವ	balasuva
ಆನೆಗಳು	aanegalu
ಬೃಹತ್	bruhat
ಗಾತ್ರದ್ದಾಗಿರುತ್ತಿದ್ದವು;	gaatraddaagiruttiddavu;
ಕೆಲವು	kelavu
ಒಂಬತ್ತು	ombattu
ಟನ್	ton
ಗಿಂತಲೂ	gintaloo
ತೂಕದ್ದಾಗಿರುತ್ತಿದ್ದವು.	tookaddaagiruttiddavu.
</s>	</s>
ಆದರೆ	Aadare
ಇವನೂ	ivanoo
ಕೂಡ	kooda
'ಸರ್'	'Sir'
ಆಗುತ್ತಾನೆಯೇ	aaguttaaneye
ಹೊರತು	horatu
'ಮಿಸ್ಟರ್'	'Mr'
ಆಗಲಾರ.	aagalaara.
</s>	</s>
ಮಹೊಮದ್	mohammed
ಪಟ್ನಾದಲ್ಲಿ	Patnadalli
ಬೆಳೆದರು.	beledaru.
</s>	</s>
ಅಂತಹ	Antaha
ಚೇತನರಾಗಿದ್ದವರು	chetanaraagiddavaru
ಪಂಚಾಕ್ಷರಿ	Panchakshari
ಗವಾಯಿಗಳು	Gawaigalu
ಪುಟ್ಟರಾಜ	Puttaraja
ಗವಾಯಿಗಳು.	Gawaigalu.
</s>	</s>
ಹಲವಾರು	Halawaru
ಪಾರಿಷ್	parish
ಗಳನ್ನು	galannu
ಪ್ರತಿನಿಧಿಸುವ	pratinidhisuva
ಮತ್ತು	mattu
ಇಡೀ	idee
ಕೌಂಟಿಯನ್ನು	countyyannu
ಪ್ರತಿನಿಧಿಸುವ	pratinidhisuva
ತಂಡವನ್ನು	tandavannu
೧೬೬೦ರಲ್ಲಿ	1660ralli
ರಚಿಸಲಾಯಿತು.	rachisalaayitu.
</s>	</s>
ಗೌರವಿಸಿವೆ.	Gauravisive.
</s>	</s>
ರಾಜ-ಮಹಾರಾಜ-ಸಾಮಂತರುಗಳಿಂದ	Raja-Maharaaja-Samantarugalinda
ತುಂಬಿದ್ದ	tumbidda
ಬ್ರಿಟಿಷ್	british
ಇಂಡಿಯವನ್ನು	Indiavannu
ಇಂಡಿಯವನ್ನಾಗಿಸಲು	Indiavannaagisalu
ಸಾಮ	saama
ಭೇದ	bheda
ದಾನ	daana
ದಂಡ	danda
ಇವುಗಳನ್ನು	ivugalannu
ಸಂದರ್ಭಕ್ಕೆ	sandarbhakke
ಸರಿಯಾಗಿ	sariyaagi
ಬಳಸಿದ	balasida
ಹಿರಿಮೆ	hirime
ಪಟೇಲರದ್ದು.	Patelaraddu.
</s>	</s>
ತನ್ನ	Tanna
ಹಿರಿಯರಿಗೆ	hiriyarige
ಫಿಲಿಡೆಲ್ಫಿಯಾದ	Philadelphiada
WCAU	WCaaoo
ರೇಡಿಯೊ	radio
ಕೇಂದ್ರದ	kendrada
ಮೂಲಕ	moolaka
ಪ್ರಸಾರ	prasaara
ಜಾಹಿರಾತಿಗೆ	jaahiraatige
ಅನುಮತಿ	anumati
ನೀಡಿ	needi
ಪ್ರೊತ್ಸಾಹಿಸಿದರು.	protsaahisidaru.
</s>	</s>
1947ರ	1947ra
ಇಂಡಿಯನ್	Indian
ಇಂಡಿಪೆಂಡೆನ್ಸ್	Independence
ಆಕ್ಟ್ನ	Actna
ಪ್ರಕಾರ	prakaara
ಬ್ರಿಟಿಷ್	british
ಆಳ್ವಿಕೆಯಿಂದ	aalvikeyinda
ಸುಮಾರು	sumaaru
565	565
ಸ್ವಯಂ	svayam
ಆಡಳಿತದ	aadalitada
ಸಂಸ್ಥಾನಗಳನ್ನು	samsthaanagalannu
ಬಿಡುಗಡೆ	bidugade
ಮಾಡಲಾಯಿತು.	maadalaayitu.
</s>	</s>
ಸೋಮಶೇಖರ	Somashekhara
ಅಗ್ರಹಾರ	Agrahaara
</s>	</s>
ಮಾನವನ	Maanavana
ಕ್ಷಯರೋಗದ	kshayarogada
ಬ್ಯಾಕ್ಟೀರಿಯಾ	bacteria
ಗಿನಿಯಿಲಿಗಳನ್ನು	giniyiligalannu
ಬಹಳ	bahala
ಸುಲಭವಾಗಿ	sulabhavaagi
ಸೋಂಕಿಸುತ್ತದೆ.	sonkisuttade.
</s>	</s>
ಕೆಲವರು	Kelavaru
ಅಮೆರಿಕಕ್ಕೆ	Americakke
ಹೋಗಿ	hogi
ಕೆಲಸಮಾಡಿ	kelasamaadi
ತಾಯಿನಾಡಿಗೆ	taayinaadige
ಮರಳಿದ್ದರು.	maraliddaru.
</s>	</s>
ಸಂಪಾದಿಸಿ	Sampaadisi
</s>	</s>
ಮಕ್ಕಳ	Makkala
ಅನೇಕ	aneka
ಶಸ್ತ್ರಚಿಕಿತ್ಸಕರು	shastrachikitsakaru
ಮಕ್ಕಳ	makkala
ಆಸ್ಪತ್ರೆಗಳು	aaspatregalu
ಅಭ್ಯಾಸ.	abhyaasa.
</s>	</s>
ಇದು	Idu
ಪ್ರತೀವರ್ಷ	prateevarsha
ಜನವರಿ	January
ತಿಂಗಳಿನಲ್ಲಿ	tingalinalli
ಕರ್ನಾಟಕದ	Karnatakada
ದಕ್ಷಿಣ	Dakshina
ಕನ್ನಡ	Kannada
ಜಿಲ್ಲೆಯ	jilleya
ಕೇಂದ್ರ	kendra
ಮಂಗಳೂರು	Mangalore
ಸಮೀಪದ	sameepada
ಮೂಡಬಿದಿರೆಯ	Moodabidriya
ವಿದ್ಯಾಗಿರಿಯಲ್ಲಿಯಲ್ಲಿ	Vidyagiriyalliyalli
ಜರಗುತ್ತದೆ.	jaraguttade.
</s>	</s>
ಪಂದ್ಯದ	Pandyada
ತರುವಾಯ,	taruvaaya,
ಅಂಡರ್ಟೇಕರ್	Undertaker
ಬಿಗ್	Big
ಶೊ	Show
ಮತ್ತು	mattu
ಕೇನ್	Cane
ರವರನ್ನು	ravarannu
ಬೆನ್ನೆಟ್ಟುವವರೆಗೆ	bennettuvavarege
ಅವರು	avaru
ರೆಯ್	Rey
ಮಿಸ್ಟಿರಿಯೊನನ್ನು	Mysterionannu
ಆಕ್ರಮಿಸಿದರು.	aakramisidaru.
</s>	</s>
ನಾಟ್ಯ	Naatya
ರಾಣಿ	Rani
ಶಾಂತಲಾ	Shantala
</s>	</s>
ಸುಡುವ	Suduva
ಅಥವಾ	athavaa
ಹೂಳುವ	hooluva
ನಿವೇಶನಕ್ಕೆ	niveshanakke
ಶ್ಮಶಾನವೆಂದು	shmashaanavendu
ಹೆಸರು.	hesaru.
</s>	</s>
ಯಾವುದೇ	Yaavude
ಒಂದು	ondu
ಸಾಧನವು	saadhanavu
ಎಲ್ಲವನ್ನೂ	ellavannoo
ಮಾಡಲು	maadalu
ಸಾಧ್ಯವಿಲ್ಲ.	saadhyavilla.
</s>	</s>
ಶಸ್ತ್ರಚಿಕಿತ್ಸೆಗೆ,	Shastrachikitsege,
ತೊಡಗುವ	todaguva
ಚಿಕಿತ್ಸಕ,	chikitsaka,
(ಧನ್ವಂತರಿ)	(dhanvantari)
ಪ್ರಾರ್ಥನಾದಿಗಳನ್ನು	praarthanaadigalannu
ಪೂರೈಸಿ,	pooraisi,
ಶುಭ್ರವಾದ	shubhravaada
ಬಿಗಿ	bigi
ಉಡುಪನ್ನು	udupannu
ಧರಿಸಬೇಕು.	dharisabeku.
</s>	</s>
ಗೋಡಂಬಿ	Godambi
ಕಾಯಿಚಿಪ್ಪಿನ	kaayichippina
ದ್ರವವು	dravavu
(ಕ್ಯಾಶ್ಯೂ	(Cashew
ನಟ್‌ಶೆಲ್‌	nutshell
ಲಿಕ್ವಿಡ್‌-CNSL	liquid-CNshl
)	)
ಗೋಡಂಬಿಯ	godambiya
ಸಂಸ್ಕರಣದ	samskaranada
ಒಂದು	ondu
ಉಪ-ಉತ್ಪನ್ನವಾಗಿದ್ದು,	upa-utpannavaagiddu,
ಅದರ	adara
ಬಹುತೇಕ	bahuteka
ಭಾಗವು	bhaagavu
ಅನಾಕಾರ್ಡಿಕ್‌	Anacardic
ಆಮ್ಲಗಳಿಂದ	aamlagalinda
ತುಂಬಿಕೊಂಡಿದೆ.	tumbikondide.
</s>	</s>
ಇಲ್ಲಿ	Illi
ಪ್ರತೀ	pratee
ವರ್ಷ	varsha
ಪಾಲ್ಗುಣ	paalguna
ಶುಕ್ಲದ	shuklada
ದಶಮಿಯಂದು	dashamiyamdu
ರಥೋತ್ಸವ	rathotsava
ಇರುತ್ತದೆ	iruttade
ಹಾಗೂ	haagoo
ಸಂಡೂರು	Sandooru
ತಾಲೂಕಿನ	taalookina
ಸೋವೇನಹಳ್ಳಿಯಲ್ಲಿ	Sovenahalliyalli
ಸಾರಿದುರ್ಗಾಂಭ	Saaridurgaanbha
ಹಾಗೂ	haagoo
ಶ್ರೀ	Shree
ಸಿದ್ದಲಿಂಗೇಶ್ವರ	Siddalingeshvara
ರಥೋತ್ಸವಗಳು	rathotsavagalu
ವೈಭವದಿಂದ	vaibhavadinda
ಜರುಗುತ್ತವೆ.	jaruguttave.
</s>	</s>
ರೆಫರೆನ್ಸಸ್	References
ಅಂಡ್	and
ಡಿಸ್ಕವರರ್	Discover
ಕೋಡ್ಸ್,	Codes,
ಯುನೈಟೆಡ್	United
ಸ್ಟೇಟ್ಸ್	States
ನೇವಲ್	Naval
ಅಬ್ಸರ್ವೇಟರಿ.	Observatory.
ಆಗಸ್ಟ್	August
೨೦,	20,
೨೦೦೮ರಲ್ಲಿ	2008ralli
ಆನ್ಲೈನ್	online
ಮೂಲಕ	moolaka
ಸಂಕಲಿಸಲಾಗಿದೆ.	sankalisalaagide.
</s>	</s>
ಸಂಹವನೆ	Samhavane
ನಡೆಸುತ್ತಿರುವಾಗ	nadesuttiruvaaga
ಮಾನವರು	maanavaru
ತಮ್ಮ	tamma
ದೇಹಕ್ಕೆ	dehakke
ಚಾಲನೆಯನ್ನು	chaalaneyannu
ನೀಡುತ್ತಾರೆ.	needuttaare.
</s>	</s>
ಇದರ	Idara
ಪ್ರತೀಕಾರಗೆ,	prateekaarage,
ಅವತ್ತು	avattu
ಸಂಜೆ	sanje
ವಿಟ್	Wit
ಮತ್ತು	mattu
ಕೇನ್	Cane
ಸೇರಿ	seri
ಟ್ರಿಪೆಲ್	Tripple
ಎಚ್	H
ಅರ್ಹತೆ	arhate
ಪಂದ್ಯದಲ್ಲಿ	pandyadalli
ಸಹಾಯಮಾಡಿದರು.	sahaayamaadidaru.
</s>	</s>
ಈ	Ee
ಅಭಿಪ್ರಾಯದ	abhipraayada
ಸ್ಥಿತಿಯನ್ನು	sthitiyannu
ವಿವರಿಸಲು,	vivarisalu,
ಒಂದು	ondu
ಬೊಲ್ಟ್‌ನ	boltna
ಕೊನೆ	kone
ತಿರುವು	tiruvu
ಮಾತ್ರ	maatra
ಅದನ್ನು	adannu
ಬಿಗಿಗೊಳಿಸುತ್ತದೆ-ಉಳಿದಿರುವುದೆಲ್ಲಾ	bigigolisuttade-ulidiruvudellaa
ಬರೀ	baree
ಚಲನೆ	chalane
ಎಂದು	endu
ಶಿಗೊ	Shigo
ಶಿಂಗೊ	Shingo
ಗಮನಿಸಿದರು.	gamanisidaru.
</s>	</s>
ಬಾನುಲಿ	Baanuli
ನಾಟಕಗಳು	naatakagalu
ಇರುವುದು	iruvudu
ಪ್ರೇಕ್ಷಕನಲ್ಲದ	prekshakanallada
ಶ್ರೋತೃಗಳಿಗಾಗಿ.	shrotrugaligaagi.
</s>	</s>
ಆ	Aa
ಚರ್ಚಾ	charchaa
ಸಭೆಯಲ್ಲಿ	sabheyalli
50,000	50,000
ಕ್ಕಿಂತ	kkinta
ಹೆಚ್ಚಿನ	hechchina
ಜನರು	janaru
ಹಾಜರಿದ್ದರು.	haajariddaru.
</s>	</s>
ಮೂತ್ರಕೋಶದಲ್ಲಿ	Mootrakoshadalli
'ಕಲ್ಲಿನಂತಹ	'kallinantaha
ಗಟ್ಟಿ	gatti
ಪದಾರ್ಥ,'	padaartha,'
ಕಟ್ಟಿಕೊಳ್ಳುತ್ತದೆ.	kattikolluttade.
</s>	</s>
ಇದರಿಂದ	Idarinda
ಅವರೆಲ್ಲರಿಗೂ	avarellarigoo
ಅವಕಾಶ	avakaasha
ಕಲ್ಪಿಸುವುದು	kalpisuvudu
ಅಸಾಧ್ಯವಾಗಿ	asaadhyavaagi
ಪ್ರತಿಯೊಂದು	pratiyondu
ಕಾಲೇಜೂ	college
ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು	vidyaarthigalannu
ಆಯ್ದುಕೊಳ್ಳವುದು	aaydukollavudu
ಅನಿವಾರ್ಯವಾಗುತ್ತಿದೆ.	aniwaryavaaguttide.
</s>	</s>
ಗಂಗಾಧರರಾಯ	Gangadhararaya
ಝಾನ್ಸಿಯ	Jhansiya
ರಾಜನಾಗಿದ್ದು	raajanaagiddu
೧೮೩೮ರಲ್ಲಿ.	1838ralli.
</s>	</s>
ಫಲಿತಬಲ	Phalitabala
ಲಂಬರೇಖೆಗೆ	lambarekhege
(ಚಿo)	(chio)
ಗಳಷ್ಟು	galashtu
ಓರೆಯಾಗಿದ್ದರೆ	oreyaagiddare
ಗರಿಷ್ಠ	garishtha
ಒತ್ತಡ	ottada
ಖ/b	kha/b
seಛಿ	sechi
ಚಿ	chi
ಆಗುತ್ತದೆ.	aaguttade.
</s>	</s>
ಈ	Ee
ರೀತಿ	reeti
ಮಾಡುವ	maaduva
ಮೂಲಕ	moolaka
ಅವು	avu
ಸಾಮಾನ್ಯವಾಗಿ	saamaanyavaagi
ತಮ್ಮ	tamma
ನಿಯಂತ್ರಣಕ್ಕೆ	niyantranakke
ಬಂದ	banda
ಸಿಸ್ಟಮ್	system
ಅನ್ನು	annu
ದುರುಪಯೋಗಪಡಿಸಿಕೊಳ್ಳಲು	durupayogapadisikollalu
ಪ್ರಯತ್ನಿಸುತ್ತವೆ,	prayatnisuttave,
ಮತ್ತು	mattu
"ಹಿಂಬಾಗಿಲು"ಗಳನ್ನು	"himbaagilu"galannu
ಹೊಂದಿರುತ್ತಿದ್ದು	hondiruttiddu
ಅವು	avu
ದಾಳಿಕಾರರಿಗೆ	daalikaararige
ಭವಿಷ್ಯದಲ್ಲಿ	bhavishyadalli
ಯಾವಾಗ	yaavaaga
ಬೇಕಾದರೂ	bekaadaroo
ಪ್ರವೇಶವನ್ನು	praveshavannu
ದೊರಕಿಸಿಕೊಡುತ್ತವೆ.	dorakisikoduttave.
</s>	</s>
ಇದರಲ್ಲಿ	Idaralli
ಅಪರೂಪದ	aparoopada
ಟ್ವೆಂಟಿಯತ್	Twentieth
ಸೆಂಚುರಿ	Century
,ಕಾರ್ಯಕ್ರಮ	,kaaryakrama
ಮಾತ್ರ	maatra
ಪುರಾತನ	puraatana
ಸುದ್ದಿ	suddi
ಸುರಳಿಗಳನ್ನು	suraligalannu
ಕಪ್ಪು-ಬಿಳುಪಿನಲ್ಲಿ	kappu-bilupinalli
ಪ್ರಸಾರ	prasaara
ಮಾಡಲಾಯಿತು.	maadalaayitu.
</s>	</s>
ಜಿ.ವಿ.	G.V.
ದಾಮೋದರನಾಯುಡುರವರ	Damodaranayuduravara
ಜೀವನ	jeevana
ಚರಿತ್ರೆ	charitre
</s>	</s>
ಮಳವಳ್ಳಿ	Malavalli
ರಾಚಯ್ಯನ	Rachayyana
ಮನೆತನದವರು	manetanadavaru
ಮಂಟೇದವರ	mantedavara
ಒಕ್ಕಲಾದರು.	okkalaadaru.
</s>	</s>
ಮಾರ್ಚ್,	March,
೨೦೦೮	2008
ರಲ್ಲಿ	ralli
'ಮಹಾರಾಷ್ಟ್ರ	'Maharashtra
ಸರ್ಕಾರ	sarkaara
ಹೆರಿಟೇಜ್	heritage
ಕಟ್ಟಡಗಳ	kattadagala
ದುರಸ್ತಿ'ಗೆ	durasti'ge
ಮುಂದೆಬಂದು	mundebandu
ಕೆಲಸ	kelasa
ಪ್ರಾರಂಭಿಸಿತು.	praarambhisitu.
</s>	</s>
ರಾಮಚಂದ್ರ	Ramachandra
ದೇವರು	devaru
ದೇವಾಲಯ	devaalaya
-	-
ಶ್ರೀ	Shree
ರಾಮಚಂದ್ರ	Ramachandra
ದೇವರ	devara
ದೇವಸ್ಥಾನ	devasthaana
ಮೂಲತಃ	moolataha
ತೀರ್ಥಹಳ್ಳಿ	Tirthahalli
ರಲ್ಲಿ	ralli
ಸೋಮಶೇಖರ	Somashekhara
ಅಗ್ರಹಾರ	agrahaara
ನದಿ	nadi
ತುಂಗಾ	Tunga
ತೀರದಲ್ಲಿರುವ	teeradalliruva
ಖಾಸಗಿ	khaasagi
ಪದ್ಧತಿಯಾಗಿತ್ತು.	paddhatiyaagittu.
</s>	</s>
ಅಂದರೆ	Andare
1990	1990
ರಲ್ಲಿ	ralli
ಕಿಂಗ್	King
ವರ್ಲ್ಡ್	World
ಮತ್ತು	mattu
ವೈಕಾಮ್	Viacom
ಜೊತೆ	jote
ವಿಲೀನವಾಗುವವರೆಗೆ	vileenavaaguvavarege
ಇದನ್ನು	idannu
ಬಳಸಲಾಗುತಿತ್ತು.	balasalaagutittu.
</s>	</s>
ಕೃಷಿ	Krushi
ಪದ್ದತಿಗಳು	paddatigalu
ಕ್ರಮಬದ್ಧವಾಗಿರದಿದ್ದಲ್ಲಿ	kramabaddhavaagiradiddalli
ಮಣ್ಣಿನ	mannina
ಸವಕಳಿ	savakali
ಉಂಟಾಗುತ್ತದೆ.	untaaguttade.
</s>	</s>
ಹೀರಿಕೆಗಾಗಿ,	Heerikegaagi,
ಅಂದರೆ	andare
ಸಕ್ರಿಯಗೊಳಿಸಿದ	sakriyagolisida
ಇದ್ದಲು(ಚಾರ್‌ಕೋಲ್)	iddalu(Charcol)
</s>	</s>
ಜಪಾನೀಸ್	Japanese
ಅಡುಗೆಯವರು	adugeyavaru
ಗಿಂಕ್ಗೊ	Ginkgo
ಬೀಜಗಳನ್ನು	beejagalannu
(ಗಿನ್ನನ್	(ginnan
ಎನ್ನುತ್ತಾರೆ)	ennuttaare)
ಚವನ್‌ಮುಂಶಿ	chavanhmumshi
ಯಂತಹ	yantaha
ತಿನಿಸುಗಳಿಗೆ	tinisugalige
ಸೇರಿಸುತ್ತಾರೆ.	serisuttaare.
</s>	</s>
ತುಳುವರು	Tuluvaru
ತುಳುಕೂಟ	tulukoota
ಮತ್ತಿತರ	mattitara
ಸಂಘ	sangha
ಸಂಸ್ಥೆಗಳ	samsthegala
ನಿರಂತರ	nirantara
ಹೋರಾಟದ	horaatada
ಫಲವಾಗಿ	phalavaagi
೧೯೯೪	1994
ರಲ್ಲಿ	ralli
ಶ್ರೀ	Shree
ಎಂ.	M.
</s>	</s>
ಶ್ರೀ	Shree
ಮಲ್ಲಿಕಾರ್ಜುನ	Mallikarjuna
ದೇವಸ್ಥಾನ	devasthaana
ಕಾಡು	Kaadu
ಮಲ್ಲೇಶ್ವರ	Malleshvara
ಎಂದೇ	ende
ಪ್ರಸಿದ್ಧ.	prasiddha.
</s>	</s>
ವ್ಯಂಗ,	Vyangya,
ಕಟಕಿ,	kataki,
ಹರಿತವಾದ	haritavaada
ಶೈಲಿ	shaili
ಇವು	ivu
ಇವನ	ivana
ಬರೆವಣಿಗೆಯ	barevanigeya
ವೈಶಿಷ್ಟ್ಯ.	vaishishtya.
</s>	</s>
೮ನೆ	8ne
ಹೆನ್ರಿಯ	Henryya
ಕಾಲದಲ್ಲಿ	kaaladalli
ಸ್ಥಿರತೆಯನ್ನೂ	sthirateyannoo
ಆಂತರಿಕ	aantarika
ಶಾಂತಿಯನ್ನು	shaantiyannu
ಹೊಂದಿದ	hondida
ಇಂಗ್ಲೆಂಡ್	England
ಅವನು	avanu
೧೫೪೭ರಲ್ಲಿ	1547ralli
ತೀರಿಕೊಂಡ	teerikonda
ನಂತರ	nantara
ಪಟ್ಟಕ್ಕೆ	pattakke
ಬಂದ	banda
೬ನೇ	6ne
ಈಡ್ವರ್ಡ್	Edward
ರೋಗಿಯಾಗಿದ್ದು	rogiyaagiddu
ಚಿಕ್ಕವಯಸ್ಸಿನಲ್ಲಿಯೇ	chikkavayassinalliye
ತೀರಿಕೊಂಡನು.	teerikondanu.
</s>	</s>
ಕ್ವೀನ್‍ಮಾಬ್	Queenmab
ಕ್ರಾಂತಿ	kraanti
ಕಾರಿ	kaari
ಕವಿತೆ	kavite
(1812-13)	(1812-13)
ರಾಜಕೀಯ	raajakeeya
ಪ್ರಭುತ್ವ	prabhutva
ಹಾಗೂ	haagoo
ಸಾಂಪ್ರದಾಯಿಕ	saampradaayika
ಕ್ರೈಸ್ತ	Christ
ಧರ್ಮದ	dharmada
ಟೀಕೆಯಾಗಿದೆ.	teekeyaagide.
</s>	</s>
ಮಾಲಿನ್ಯಯುಕ್ತ	Maalinyayukta
ನೀರಿನ	neerina
ಪೂರೈಕೆಯಿಂದ	pooraikeyinda
ರೋಗಗಳು	rogagalu
ಹರಡುತ್ತಿದ್ದವು.	haraduttiddavu.
</s>	</s>
ಈ	Ee
ದಾಂಡುಗಳ	daandugala
ಉದ್ದ,	udda,
ಬಳುಕು,	baluku,
ತೂಕ,	tooka,
ಆಕಾರ,	aakaara,
ತಲೆಯ	taleya
ಬಾಗು-ಈ	baagu-ee
ಮೊದಲಾದವುಗಳಲ್ಲಿ	modalaadavugalalli
ಖಚಿತವಾದ	khachitavaada
ವ್ಯತ್ಯಾಸವಿರುತ್ತದೆ.	vyatyaasaviruttade.
</s>	</s>
ಟೈಚಿ	Tychi
ಒಹ್ನೋ	Ohno
ಟೊಯೋಟಾದಲ್ಲಿದ್ದಾಗ	Toyotadalliddaaga
ಈ	ee
ವಿಷಯಗಳು	vishayagalu
ಅವನ	avana
ಜೊತೆ	jote
ಜೊತೆಗೆನೆ	jotegene
ಬೆಳಕಿಗೆ	belakige
ಬಂದವು.	bandavu.
</s>	</s>
19ನೆಯ	19neya
ಫೇನ್ಸ್	Fans
ಲಾನ್ಸರ್ಸ್	Lancers
</s>	</s>
ಗ್ಯಾರಿಕ್	Garrick
ಡೇವಿಡ್	David
1717-79.	1717-79.
ಇಂಗ್ಲೆಂಡಿನ	Englandina
ಜನಪ್ರಿಯ	janapriya
ನಟ,	nata,
ನಾಟಕಕಾರ	naatakakaara
ಮತ್ತು	mattu
ರಂಗಭೂಮಿಯ	rangabhoomiya
ನಿಯಂತ್ರಕ.	niyantraka.
ಸಹಜ	sahaja
ಅಭಿನಯವನ್ನು	abhinayavannu
ಪ್ರಚಾರಕ್ಕೆ	prachaarakke
ತಂದವ.	tandava.
</s>	</s>
ಪ್ಲೇಯಿಂಗ್	Playing
ಕಾರ್ಡ್	card
ಸೊಸೈಟಿಯ	societyya
ಎಂಬ	emba
ಇಸ್ಪೀಟಾಟದ	ispeetaatada
ಸಮಾಜಗಳೂ	samaajagaloo
ಇವೆ.	ive.
</s>	</s>
ಅವರು	Avaru
ವಸ್ತುತಃ	vastutaha
ಎಲ್ಲ	ella
ಅಮೆರಿಕನ್	American
ಕಾಲೇಜುಗಳು	collegegalu
ಮತ್ತು	mattu
ಪ್ರೌಢಶಾಲೆಗಳು	praudhashaalegalu
ಹಾಗೂ	haagoo
ಎಲ್ಲಾ,	ellaa,
ಮಧ್ಯಮ	madhyama
ಶಾಲೆಗಳು	shaalegalu
ಮತ್ತು	mattu
ಪ್ರಾಥಮಿಕ	praathamika
ಶಾಲೆಗಳಲ್ಲಿ	shaalegalalli
.	.
</s>	</s>
ವದನಾಂಗಗಳು	Vadanaangagalu
ಆಹಾರವನ್ನು	aahaaravannu
ಅಗಿಯುವುದಕ್ಕೆ	agiyuvudakke
ಸಹಕಾರಿಯಾಗಿವೆ.	sahakaariyaagive.
</s>	</s>
ಪುರಾತನವಾದ	Puraatanavaada
ಸೂರ್ಯ	soorya
ಚಂದ್ರಾದಿಗಳೊಡನೆ	chandraadigalodane
ಹೋಲಿಸಿದರೆ	holisidare
ಮಾನವ	maanava
ನಿನ್ನೆ	ninne
ಹುಟ್ಟಿದ	huttida
ಶಿಶು.	shishu.
</s>	</s>
ಲಂಡನ್‌	London
ಸೇತುವೆ	setuve
ಹಾಗೂ	haagoo
ಲಂಡನ್	London
ಗೋಪುರಗಳ	gopuragala
ನಡುವೆ	naduve
ಸ್ಥಿತವಾಗಿರುವ	sthitavaagiruva
ಪೂಲ್‌	Pool
ಆಫ್‌	of
ಲಂಡನ್‌ನಲ್ಲಿನ	Londonnallina
ಬಂದರಿಗೆ	bandarige
ಎತ್ತರದ	ettarada
ಪಟಸ್ತಂಭಗಳುಳ್ಳ	patastambhagalulla
ಹಡಗುಗಳು	hadagugalu
ಆಗಮಿಸಲು	aagamisalu
ಅಡ್ಡಿಯಾಗುವುದೆಂದು	addiyaaguvudendu
ಸಾಂಪ್ರದಾಯಿಕವಾದ	saampradaayikavaada
ಸ್ಥಿರ	sthira
ಸೇತುವೆ	setuve
ಕಟ್ಟಲು	kattalu
ಸಾಧ್ಯವಾಗುತ್ತಿರಲಿಲ್ಲ.	saadhyavaaguttiralilla.
</s>	</s>
ತುಂಬಾ	Tumbaa
ಕಡಿಮೆ	kadime
ಸಂಭಾಷಣೆಗಳಿದ್ದ	sambhaashanegalidda
ಈ	ee
ಚಿತ್ರದಲ್ಲಿ	chitradalli
ವಿಧವೆಯ	vidhaveya
ನೋವು-ನಲಿವುಗಳನ್ನು	novu-nalivugalannu
ತಮ್ಮ	tamma
ಕಣ್ಣುಗಳಿಂದಲೇ	kannugalindale
ಅದ್ಭುತವಾಗಿ	adbhutavaagi
ಅಭಿವ್ಯಕ್ತಿಸಿದ್ದರು.	abhivyaktisiddaru.
</s>	</s>
2000ರಲ್ಲಿ	2000ralli
ಭೂದೃಶ್ಯ	bhoodrushya
ಮಟ್ಟದ	mattada
ಸಂರಕ್ಷಣೆಯ	samrakshaneya
ಕಲ್ಪನೆಯು	kalpaneyu
ಹೆಚ್ಚು	hechchu
ಪ್ರಾಮುಖ್ಯತೆಯನ್ನು	praamukhyateyannu
ಪಡೆಯಿತು.	padeyitu.
</s>	</s>
ಇಂದು	Indu
ಅವುಗಳ	avugala
ಸಂಖ್ಯೆ	sankhye
ಬೆರಳೆಣಿಸುವಷ್ಟು	beralenisuvashtu
ತಗ್ಗಿದೆ.	taggide.
</s>	</s>
ಸಮಾಜ	Samaaja
ವಿಜ್ಞಾನ	vijnaana
</s>	</s>
ಬಹುಕಾಲ	Bahukaala
ಕಳೆದ	kaleda
ಮೇಲೆ	mele
ಕದ್ರು	kadru
ಒಂದು	ondu
ಸಾವಿರ	saavira
ಅಂಡಗಳನ್ನೂ	andagalannoo
ವಿನತೆ	vinate
ಎರಡು	eradu
ಅಂಡಗಳನ್ನೂ	andagalannoo
ಪಡೆದರು.	padedaru.
</s>	</s>
ಈ	Ee
ಸಂದರ್ಭದಲ್ಲಿ	sandarbhadalli
ಒಳಗಿನವರು	olaginavaru
ಮತ್ತು	mattu
IPOನಲ್ಲಿ	IPOnalli
ಭಾಗಿಯಾದ	bhaagiyaada
ಯಾವುದೇ	yaavude
ಮಾರಾಟ	maaraata
ಒಪ್ಪಂದದಾರರು	oppandadaararu
ಕಂಪೆನಿಯ	companyya
ಗಳಿಕೆಗಳ	galikegala
ಮುನ್ಸೂಚನೆಗಳು	munsoochanegalu
ಅಥವಾ	athavaa
ಸಂಶೋಧನೆ	samshodhane
ವರದಿಗಳನ್ನು	varadigalannu
ನೀಡುವುದರಿಂದ	needuvudarinda
ನಿರ್ಬಂಧಿಸಲಾಗುತ್ತದೆ.	nirbandhisalaaguttade.
</s>	</s>
ವರ್ಡ್ಸ್ವರ್ತ್	Wordsworth
ಟ್ರಸ್ಟ್	Trust
ನ	na
ಫೆಲೋ	Fellow
</s>	</s>
