Kannada-Word,Part-of-Speech
ಅಭಿವೃದ್ಧಿ,JJ
ಕಾಮಗಾರಿಗೆ,N__NN
ಈಬಾರಿ,N__NST
ಅನುದಾನವನ್ನು,N__NN
ಮೀಸಲು,N__NN
ಇಡಲು,V__VM__VF
ಆಗುತ್ತದೆ,V__VAUX
.,RD__PUNC
ಈ,DM__DMD
ಯೋಜನೆಯ,N__NN
ಮೂಲಕ,RP__RPD
ದ್ವಿ,QT__QTC
ಪಥದ,N__NN
ರಾಜ್ಯ,JJ
ಹೆದ್ದಾರಿಗಳು,N__NN
",",RD__PUNC
ಸಂಚಾರ,N__NN
ದಟ್ಟಣೆ,N__NNV
ಹೆಚ್ಚು,RB
ಇರುವ,V__VM__VNG
ಜಿಲ್ಲಾ,JJ
ಮುಖ್ಯ,JJ
ರಸ್ತೆಗಳು,N__NN
ಮತ್ತು,CC__CCD
ಇತರ,N__NN
ಜಿಲ್ಲಾ,JJ
ರಸ್ತೆಗಳನ್ನು,N__NN
ಕನಿಷ್ಠ,JJ
ಮಧ್ಯಂತರ,JJ
ಪಥಕ್ಕೆ,N__NN
ವಿಸ್ತರಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
ಮತ್ತು,CC__CCS
ಹೆಚ್ಚು,JJ
ಭಾರ,N__NN
ಇರುವ,V__VM__VNG
ವಾಹನಗಳ,N__NN
ಸಂಚಾರಕ್ಕೆ,N__NN
ಸೂಕ್ತವಾದ,RB
ರೀತಿಯಲ್ಲಿ,N__NN
ರಸ್ತೆಯನ್ನು,N__NN
ನಿರ್ಮಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಕಳೆದ,JJ
ನಾಲ್ಕು,QT__QTC
ವರ್ಷಗಳಲ್ಲಿ,N__NN
ಯೋಜನೆಯ,N__NN
ಒಟ್ಟು,JJ
ವೆಚ್ಚ,N__NN
ರೂ.,N__NN
"8,707",QT__QTC
ಕೋಟಿಗಳಲ್ಲಿ,N__NN
",",RD__PUNC
ರೂ.,N__NN
"4,236",QT__QTC
ಕೋಟಿಯನ್ನು,N__NN
ವೆಚ್ಚ,N__NN
ಮಾಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಈ,DM__DMD
ನಿಧಿಯ,N__NN
ಮೂಲಕ,PSP
"2,672",QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
"9,487",QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ಅಗಲಗೊಳಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
"1,492",QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
"9,730",QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ಸುಧಾರಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ರೂ.,N__NN
72,QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
196,QT__QTC
ಸೇತುವೆಗಳನ್ನು,N__NN
ನಿರ್ಮಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ವಿವರಗಳು,N__NN
ಈ,DM__DMD
ಕೆಳಗಿನಂತೆ,N__NST
ಇವೆ,V__VM__VF
:,RD__PUNC
ರಾಜ್ಯ,JJ
ಹೆದ್ದಾರಿಗಳು,N__NN
(,RD__SYM
State,RD__RDF
Highways,RD__RDF
),RD__SYM
.,RD__PUNC
2009,QT__QTC
-,RD__SYM
10ರ,N__NN
ಸಮಗ್ರ,JJ
ರಸ್ತೆ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯ,N__NN
ಯೋಜನೆಯ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
ವರ್ಷದಲ್ಲಿ,N__NN
442.23,QT__QTC
ಕೋಟಿ,QT__QTC
ಮೌಲ್ಯದ,N__NN
389,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಾಜ್ಯ,JJ
ಹೆದ್ದಾರಿಗಳನ್ನು,N__NN
ಅಗಲಗೊಳಿಸುವುದು,V__VM__VNG
",",RD__PUNC
548,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ಬಲಗೊಳಿಸುವುದು,V__VM__VNG
",",RD__PUNC
116,QT__QTC
ಸೇತುವೆ,N__NN
/,RD__SYM
ಕಿರು,JJ
ಸೇತುವೆಗಳನ್ನು,N__NN
ನಿರ್ಮಿಸಿ,V__VM__VNF
",",RD__PUNC
43,QT__QTC
ಅಪಘಾತ,N__NN
ಪ್ರದೇಶಗಳನ್ನು,N__NN
ಮೇಲು,JJ
ದರ್ಜೆಗೆ,N__NN
ಏರಿಸಿ,V__VM__VNF
",",RD__PUNC
14,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ಪ್ರವಾಸಿ,JJ
ಪ್ರದೇಶದ,N__NN
ರಸ್ತೆಗಳ,N__NN
ಅಭಿವೃದ್ಧಿಗೂ,N__NN
ಸರ್ಕಾರವು,N__NN
ಅನುಮೋದನೆಯನ್ನು,N__NN
ನೀಡಿದೆ,V__VM__VF
.,RD__PUNC
ಅನುಮೋದನೆಗೊಂಡು,V__VM__VNG
ಇರುವ,V__VAUX
ಹಿರಿಯ,JJ
ಸೇತುವೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
ಈ,DM__DMD
ಕೆಳಗಿನಂತೆ,N__NST
ಇವೆ,V__VM__VF
.,RD__PUNC
ಈ,DM__DMD
ಕಾಮಗಾರಿಗಳನ್ನು,N__NN
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷವೇ,N__NN
ಅನುಷ್ಠಾನಕ್ಕೆ,N__NN
ತರಲು,V__VM__VF
ಆಗುವುದು,V__VAUX
.,RD__PUNC
ಇದರಲ್ಲಿ,DM__DMD
ರೂ.,N__NN
471.42,QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
ಬಾಕಿ,N__NN
ಉಳಿದು,V__VM__VNG
ಇರುವ,V__VAUX
ಕಾಮಗಾರಿಗಳು,N__NN
ಸೇರಿದಂತೆ,V__VM__VNF
950,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
ಮತ್ತು,CC__CCD
169,QT__QTC
ಸೇತುವೆಗಳು,N__NN
/,RD__SYM
ಕಿರು,JJ
ಸೇತುವೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
ಇವುಗಳಲ್ಲಿ,DM__DMD
ಈ,DM__DMD
ಕೆಳಗಿನ,N__NST
ಪ್ರಮುಖ,JJ
ಸೇತುವೆಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
ಪ್ರಗತಿಯಲ್ಲಿ,N__NN
ಇರುವ,V__VM__VNG
ಕಾರ್ಯಗಳ,N__NN
ಜೊತೆಗೆ,RP__RPD
ಹೊಸತಾಗಿ,RB
ಮಂಜೂರು,N__NN
ಆದ,V__VM__VNG
ಕಾರ್ಯಗಳಿಗೆ,N__NN
485.67,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ಗಳನ್ನು,PSP
ನಿಗದಿಪಡಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಪ್ರಮುಖ,JJ
ಜಿಲ್ಲಾ,JJ
ರಸ್ತೆಗಳು,N__NN
(,RD__SYM
Major,RD__RDF
District,RD__RDF
Roads,RD__RDF
),RD__SYM
:,RD__PUNC
2009,QT__QTC
-,RD__SYM
10ರ,QT__QTC
ಸಮಗ್ರ,JJ
ರಸ್ತೆ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯ,N__NN
ಯೋಜನೆಯ,N__NN
ಅಡಿಯಲ್ಲಿ,RP__RPD
ವರ್ಷದಲ್ಲಿ,N__NN
352.90,QT__QTC
ಕೋಟಿ,QT__QTC
ಮೌಲ್ಯದ,N__NN
",",RD__PUNC
600,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ಅಗಲಗೊಳಿಸಿ,V__VM__VNF
",",RD__PUNC
515,QT__QTC
ಕಿ.ಮೀ.,N__NN
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳು,N__NN
",",RD__PUNC
88,QT__QTC
ಸೇತುವೆಗಳು,N__NN
/,RD__SYM
ಕಿರು,JJ
ಸೇತುವೆಗಳನ್ನು,N__NN
ಬಲಪಡಿಸಿ,V__VM__VNF
26,QT__QTC
ಅಪಘಾತ,N__NN
ಪ್ರದೇಶಗಳನ್ನು,N__NN
ನವೀಕರಿಸಿ,V__VM__VNF
ಮೇಲು,JJ
ದರ್ಜೆಗೆ,N__NN
ಏರಿಸಿ,V__VM__VNF
",",RD__PUNC
12,QT__QTC
ಕಿ.ಮೀ.,N__NN
ಪ್ರವಾಸಿ,JJ
ಪ್ರದೇಶದ,N__NN
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳ,N__NN
ಅಭಿವೃದ್ಧಿಗೂ,N__NN
ಸರ್ಕಾರವು,N__NN
ಅನುಮೋದನೆ,N__NN
ನೀಡಿದೆ,V__VM__VF
.,RD__PUNC
ಅನುಮೋದಿತ,JJ
ಪ್ರಮುಖ,JJ
ಸೇತುವೆಗಳು,N__NN
ಈ,DM__DMD
ಕೆಳಗಿನಂತೆ,N__NST
ಇವೆ,V__VM__VF
.,RD__PUNC
ಮೇಲೆ,N__NST
ನೋಡುವ,V__VM__VNG
ಸೇತುವೆ,N__NN
ಕಾಮಗಾರಿಯನ್ನು,N__NN
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷವೇ,N__NN
ಅನುಷ್ಠಾನಕ್ಕೆ,N__NN
ತರಲಾಗುವುದು,V__VM__VF
.,RD__PUNC
ಇದರಲ್ಲಿ,DM__DMD
361.29,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ವೆಚ್ಚದಲ್ಲಿ,N__NN
ಬಾಕಿ,N__NN
ಉಳಿದು,V__VM__VNG
ಇರುವ,V__VAUX
ಕಾಮಗಾರಿಗಳು,N__NN
1081,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
",",RD__PUNC
128,QT__QTC
ಸೇತುವೆಗಳು,N__NN
/,RD__SYM
ಕಿರು,JJ
ಸೇತುವೆಗಳ,N__NN
ಕಾರ್ಯಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
ಈ,DM__DMD
ಕಾಮಗಾರಿಗಳಲ್ಲಿ,N__NN
ಈ,DM__DMD
ಕೆಳಗಿನ,N__NST
ಸೇತುವೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
ಪ್ರಸ್ತುತ,JJ
ಪ್ರಗತಿಯಲ್ಲಿ,N__NN
ಇರುವ,V__VM__VNG
ಕಾಮಗಾರಿಗಳು,N__NN
ಹಾಗೂ,CC__CCD
ಹೊಸತಾಗಿ,RB
ಮಂಜೂರು,N__NN
ಆದ,V__VM__VNG
ಕಾಮಗಾರಿಗಳು,N__NN
ಸೇರಿದಂತೆ,V__VM__VNF
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷ,N__NN
402.45,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ಹಣವನ್ನು,N__NN
ಮಂಜೂರು,N__NN
ಮಾಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಇತರ,N__NN
ಜಿಲ್ಲಾ,JJ
ರಸ್ತೆಗಳು,N__NN
(,RD__SYM
Other,RD__RDF
District,RD__RDF
Roads,RD__RDF
),RD__SYM
:,RD__PUNC
ಸಮಗ್ರ,JJ
ರಸ್ತೆ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯ,N__NN
ಯೋಜನೆಯ,N__NN
ಅಡಿ,RP__RPD
ರೂ.,N__NN
245.26,QT__QTC
ಕೋಟಿಗಳಲ್ಲಿ,N__NN
1405,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ಜಿಲ್ಲೆಯ,N__NN
ಇತರ,JJ
ರಸ್ತೆಗಳ,N__NN
ಅಗಲೀಕರಣ,N__NN
ಮತ್ತು,CC__CCD
ಬಲವರ್ಧನೆ,N__NN
",",RD__PUNC
137,QT__QTC
ಸೇತುವೆಗಳು,N__NN
/,RD__SYM
ಚಿಕ್ಕ,JJ
ಸೇತುವೆಗಳನ್ನು,N__NN
ನಿರ್ಮಿಸಲು,V__VM__VINF
ಮತ್ತು,CC__CCD
ನವೀಕರಿಸಲು,V__VM__VINF
ಸರ್ಕಾರವು,N__NN
ಅನುಮತಿಯನ್ನು,N__NN
ನೀಡಿದೆ,V__VM__VF
.,RD__PUNC
23,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ದೂರದ,N__NN
ಪ್ರವಾಸಿ,JJ
ರಸ್ತೆಗಳ,N__NN
ಅಭಿವೃದ್ಧಿಗೂ,N__NN
ಸರ್ಕಾರವು,N__NN
ಅನುಮೋದನೆ,N__NN
ನೀಡಿದೆ,V__VM__VF
.,RD__PUNC
ಅನುಮೋದಿತ,JJ
ಪ್ರಮುಖ,JJ
ಸೇತುವೆಗಳು,N__NN
:,RD__PUNC
ಮೇಲೆ,N__NST
ಕಂಡ,V__VM__VNG
ಸೇತುವೆಗಳು,N__NN
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷದಲ್ಲಿ,N__NN
ಕಾರ್ಯವನ್ನು,N__NN
ಆರಂಭಿಸಲಿವೆ,V__VM__VF
.,RD__PUNC
ಇದರಲ್ಲಿ,DM__DMD
255.91,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ವೆಚ್ಚದಲ್ಲಿ,N__NN
ಬಾಕಿ,N__NN
ಉಳಿದು,V__VM__VNG
ಇರುವ,V__VAUX
ಕಾಮಗಾರಿಗಳು,N__NN
ಸೇರಿದಂತೆ,V__VM__VNF
"1,318",QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆ,JJ
ಕಾಮಗಾರಿ,N__NN
ಮತ್ತು,CC__CCD
109,QT__QTC
ಸೇತುವೆ,N__NN
/,RD__SYM
ಕಿರು,JJ
ಸೇತುವೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
ಈ,DM__DMD
ಕಾಮಗಾರಿಗಳಲ್ಲಿ,N__NN
ಕೆಳಗಿನ,N__NST
ಪ್ರಮುಖ,JJ
ಸೇತುವೆಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷ,N__NN
ನಡೆಯುತ್ತ,V__VM__VNF
ಇರುವ,V__VAUX
ಕಾಮಗಾರಿಗಳು,N__NN
ಹಾಗೂ,CC__CCD
ಹೊಸತಾಗಿ,RB
ಮಂಜೂರು,N__NN
ಆದ,V__VM__VNG
ಕಾಮಗಾರಿಗಳು,N__NN
ಸೇರಿ,V__VM__VNF
296.49,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ನಿಧಿಯ,N__NN
ಹಂಚಿಕೆ,N__NNV
ಮಾಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಆದಿದ್ರಾವಿಡರ,N__NNP
ವಸತಿಗಳನ್ನು,N__NN
ಸಂಪರ್ಕಿಸುವ,V__VM__VNG
ರಸ್ತೆ,N__NN
ಅಭಿವೃದ್ಧಿ,JJ
ಯೋಜನೆ,N__NN
:,RD__PUNC
ಸಮಗ್ರ,JJ
ರಸ್ತೆ,N__NN
ಮೂಲ,JJ
ಸೌಕರ್ಯ,N__NN
ಯೋಜನೆಯ,N__NN
ಭಾಗ,N__NN
ಆಗಿ,RP__RPD
ಆದಿದ್ರಾವಿಡರ,N__NNP
ನಿವಾಸಗಳನ್ನು,N__NN
ಸಂಪರ್ಕಿಸುವ,V__VM__VNG
ಇತರ,JJ
ಜಿಲ್ಲೆಯ,N__NN
ರಸ್ತೆಗಳನ್ನು,N__NN
ನವೀಕರಿಸುವ,V__VM__VNG
ಯೋಜನೆಯು,N__NN
2006,QT__QTC
-,RD__SYM
07ರಿಂದ,N__NN
ಕಾರ್ಯ,N__NN
ನಿರ್ವಹಿಸುತ್ತಿದೆ,V__VM__VF
.,RD__PUNC
2009,QT__QTC
-,RD__SYM
10ನೇ,QT__QTO
ಸಾಲಿನಲ್ಲಿ,N__NN
ರೂ.,N__NN
96.59,QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
598,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ಜಿಲ್ಲೆಯಲ್ಲಿನ,N__NN
ಇತರ,JJ
ರಸ್ತೆಗಳ,N__NN
ಅಗಲೀಕರಣ,N__NN
ಮತ್ತು,CC__CCD
ಬಲವರ್ಧನೆ,N__NN
ಮತ್ತು,CC__CCD
39,QT__QTC
ಸೇತುವೆಗಳು,N__NN
/,RD__SYM
ಚಿಕ್ಕ,JJ
ಸೇತುವೆಗಳ,N__NN
ನಿರ್ಮಾಣಕ್ಕೆ,N__NN
ಸರ್ಕಾರವು,N__NN
ಅನುಮತಿಸಿ,V__VM__VNF
ಇದ್ದು,V__VAUX
",",RD__PUNC
111,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ವೆಚ್ಚದಲ್ಲಿ,N__NN
ಬಾಕಿ,N__NN
ಉಳಿದು,V__VM__VNG
ಇರುವ,V__VAUX
ಕಾಮಗಾರಿಗಳು,N__NN
ಸೇರಿದಂತೆ,V__VM__VNF
621,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆ,N__NN
ಕಾಮಗಾರಿಗಳು,N__NN
ಮತ್ತು,CC__CCD
29,QT__QTC
ಸೇತುವೆಗಳು,N__NN
/,RD__SYM
ಚಿಕ್ಕ,JJ
ಸೇತುವೆಗಳು,N__NN
ಪೂರ್ಣಗೊಂಡಿವೆ,V__VM__VF
.,RD__PUNC
2009,QT__QTC
-,RD__SYM
10ರಲ್ಲಿ,QT__QTC
ಮಂಜೂರು,N__NN
ಆದ,V__VM__VNG
ಪ್ರಮುಖ,JJ
ಸೇತುವೆಗಳು,N__NN
",",RD__PUNC
ಈಗ,N__NST
ನಡೆಯುತ್ತಿರುವ,V__VM__VNG
ಕೆಲಸ,N__NN
ಮತ್ತು,CC__CCD
ಹೊಸತಾದ,RB
ಕೆಲಸಕ್ಕೆ,N__NN
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷ,N__NN
133.85,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ಅನುಮೋದಿಸಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಯೋಜನೆಯ,N__NN
2ನೇ,QT__QTO
",",RD__PUNC
ಭಾಗದ,N__NN
ಕಾರ್ಯಗಳು,N__NN
:,RD__PUNC
2009,QT__QTC
-,RD__SYM
10,10ರಲ್ಲಿ
9.51,QT__QTC
ಕೋಟಿ,QT__QTC
ರೂ.,N__NN
ಮೌಲ್ಯದ,N__NN
7,QT__QTC
ಸೇತುವೆಗಳನ್ನು,N__NN
ನಿರ್ಮಿಸಲು,V__VM__VINF
ಸರಕಾರವು,N__NN
ಅನುಮತಿಯನ್ನು,N__NN
ನೀಡಿತು,V__VM__VF
.,RD__PUNC
ಅನುಮೋದಿತ,JJ
ಪ್ರಮುಖ,JJ
ಸೇತುವೆಗಳು,N__NN
ಈ,DM__DMD
ಕೆಳಗಿನಂತೆ,N__NST
ಇವೆ,V__VM__VF
.,RD__PUNC
ಮೇಲಿನ,N__NST
ಕಾಮಗಾರಿಗಳನ್ನು,N__NN
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷದಲ್ಲಿ,N__NN
ಅನುಷ್ಠಾನಕ್ಕೆ,N__NN
ತರಲು,V__VM__VF
ಆಗುವುದು,V__VAUX
.,RD__PUNC
2009,QT__QTC
-,RD__SYM
10ರಲ್ಲಿ,N__NN
ಕೈಗೆ,N__NN
ಎತ್ತಿಕೊಂಡ,V__VM__VNG
ಕಾಮಗಾರಿ,N__NN
ಹಾಗೂ,CC__CCD
ಬಾಕಿ,N__NN
ಉಳಿದು,V__VM__VNG
ಇರುವ,V__VAUX
ಕಾಮಗಾರಿ,N__NN
ಸೇರಿದಂತೆ,V__VM__VNF
12,QT__QTC
ಸೇತುವೆಯ,N__NN
ಕಾಮಗಾರಿಗಳನ್ನು,N__NN
ರೂ.,N__NN
30.78,QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
ಪೂರ್ಣ,RB
ಮಾಡಲು,V__VM__VF
ಆಗಿದೆ,V__VAUX
.,RD__PUNC
ಈ,DM__DMD
ಪೂರ್ಣಗೊಂಡಿರುವ,V__VM__VNG
ಕೆಲವು,QT__QTF
ಸೇತುವೆಗಳು,N__NN
ಚಾಲ್ತಿಯಲ್ಲಿ,N__NN
ಇರುವ,V__VM__VNG
ಮತ್ತು,CC__CCD
ಹೊಸ,JJ
ಕಾಮಗಾರಿಗಳ,N__NN
ಜೊತೆಗೆ,RP__RPD
ಪ್ರಸಕ್ತ,JJ
ವರ್ಷಕ್ಕೆ,N__NN
ರೂ.,N__NN
13.96,QT__QTC
ಕೋಟಿಗಳನ್ನು,N__NN
ನಿಗದಿಪಡಿಸಲಾಗಿದೆ,V__VM__VF
.,RD__PUNC
ಸುನಾಮಿ,N__NN
ಪುನರ್ವಸತಿ,JJ
ಯೋಜನೆ,N__NN
:,RD__PUNC
ಏಷ್ಯನ್,N__NNP
ಡೆವಲಪ್‌ಮೆಂಟ್,N__NNP
ಬ್ಯಾಂಕಿನ,N__NNP
ನಿಧಿ,N__NN
ಒಂದಿಗೆ,RP__RPD
ಅನುಷ್ಠಾನಗೊಂಡ,V__VM__VNG
ಸುನಾಮಿ,N__NN
ತುರ್ತು,JJ
ನೆರವು,N__NNV
ಯೋಜನೆ,N__NN
:,RD__PUNC
ಸುನಾಮಿ,N__NN
ಸಂಭವಿಸಿದ,V__VM__VNG
ತಿರುವಳ್ಳೂರು,N__NNP
",",RD__PUNC
ಕಡಲೂರು,N__NNP
ಮತ್ತು,CC__CCD
ನಾಗಪಟ್ಟಿಣಂ,N__NNP
ಈ,DM__DMD
ಪ್ರಮುಖ,JJ
5,QT__QTC
ಜಿಲ್ಲೆಗಳಲ್ಲಿ,N__NN
",",RD__PUNC
ಸೇತುವೆಗಳ,N__NN
ನಿರ್ಮಾಣ,N__NN
",",RD__PUNC
ರಸ್ತೆ,N__NN
ಕಾಮಗಾರಿ,N__NN
ನಡೆಸಲು,V__VM__VINF
ಏಷ್ಯನ್,N__NNP
ಡೆವಲಪ್‌ಮೆಂಟ್,N__NNP
ಬ್ಯಾಂಕಿನಿಂದ,N__NNP
ರೂ.,N__NN
42.70,QT__QTC
ಕೋಟಿ,QT__QTC
ಅನುದಾನ,N__NN
",",RD__PUNC
ಮಂಜೂರು,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಆದರೆ,CC__CCS
",",RD__PUNC
ವಿನ್ಯಾಸದ,N__NN
ಬದಲಾವಣೆಯಿಂದ,N__NNV
ರೂ.,N__NN
92.55,QT__QTC
ಕೋಟಿಗೆ,N__NN
ಸರಕಾರವು,N__NN
ಅನುಮೋದನೆಯನ್ನು,N__NN
ನೀಡಿದೆ,V__VM__VF
.,RD__PUNC
ಕಡಲೂರು,N__NNP
ಜಿಲ್ಲೆಯಲ್ಲಿ,N__NN
ರೂ.,N__NN
9.40,QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
20.60,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ಅಲೆಪ್ಪಿ,N__NNP
-,RD__SYM
ಅಣ್ಣನ್,N__NNP
ಕೋವಿಲ್,N__NNP
ರಸ್ತೆ,N__NN
ಕಾಮಗಾರಿ,N__NN
ಪೂರ್ಣಗೊಂಡು,V__VM__VNG
ಸಾರ್ವಜನಿಕ,JJ
ಬಳಕೆಯಲ್ಲಿ,N__NN
ಇದೆ,V__VM__VF
.,RD__PUNC
ಕೆಳಗಿನ,N__NST
4,QT__QTC
ಸೇತುವೆಗಳನ್ನು,N__NN
2009,QT__QTC
-,RD__SYM
10ರಲ್ಲಿ,N__NN
ಕಟ್ಟಿ,V__VM__VNF
ಪೂರ್ಣಗೊಳಿಸಲಾಯಿತು,V__VM__VF
.,RD__PUNC
ಇದಕ್ಕೆ,DM__DMD
2009,QT__QTC
-,RD__SYM
10ನೇ,QT__QTO
ವರ್ಷದಲ್ಲಿ,N__NN
21.45,QT__QTC
ರೂ.,N__NN
ವೆಚ್ಚ,N__NN
ಆಗಿದೆ,V__VM__VF
.,RD__PUNC
ಈ,DM__DMD
ಕೆಳಗಿನ,N__NST
ಹೆಚ್ಚುವರಿ,JJ
ಸೇತುವೆಗಳನ್ನು,N__NN
ಈ,DM__DMD
ವರ್ಷ,N__NN
ಪೂರ್ಣಗೊಳಿಸಲಾಗುವುದು,V__VM__VF
.,RD__PUNC
ಕೇಂದ್ರ,JJ
ಸರ್ಕಾರದ,N__NN
ನೆರವಿನೊಂದಿಗೆ,N__NN
ಸುನಾಮಿ,N__NN
ಪುನರ್ವಸತಿ,JJ
ಕಾರ್ಯಕ್ರಮದ,N__NN
ಅಡಿ,RP__RPD
ರಸ್ತೆ,N__NN
ಅಭಿವೃದ್ಧಿ,N__NN
ಮತ್ತು,CC__CCD
ಸೇತುವೆ,N__NN
ಕಾಮಗಾರಿ,N__NN
.,RD__PUNC
ಸುನಾಮಿ,N__NN
ಪೀಡಿತ,JJ
ಪ್ರದೇಶಗಳಲ್ಲಿ,N__NN
ರಸ್ತೆ,N__NN
ನಿರ್ಮಾಣ,N__NN
ಸೌಲಭ್ಯಗಳನ್ನು,N__NN
ಸುಧಾರಿಸಲು,V__VM__VINF
ಸುನಾಮಿ,N__NN
ಪುನರ್ವಸತಿ,JJ
ಕಾರ್ಯಕ್ರಮದ,N__NNP
ಅಡಿಯಲ್ಲಿ,RP__RPD
",",RD__PUNC
277.78,QT__QTC
ಕೋಟಿ,QT__QTC
ವೆಚ್ಚದಲ್ಲಿ,N__NN
470.37,QT__QTC
ಕಿ.ಮೀ.,RP__CL
ಉದ್ದದ,N__NN
ರಸ್ತೆಗಳ,N__NN
ಸುಧಾರಣೆ,N__NNV
",",RD__PUNC
61,QT__QTC
ಸೇತುವೆಗಳ,N__NN
ನಿರ್ಮಾಣಕ್ಕೆ,N__NN
ಸರ್ಕಾರವು,N__NN
